actor,action,description
,"Acknowledgement of service","Acknowledgement of service"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Acknowledgement of service","Acknowledgement of service"
,"Amended Answer filed","Amended answer filed"
,"Agreement for Judgment","Agreement for Judgment"
,"Answer filed","Answer filed"
,"Appearance filed","Appearance for"
,"Application filed","Application filed"
,"Appointment of agent filed","Appointment of agent"
,Arbitration,"to Arbitration"
,"Bond with sureties filed","Bond with sureties"
,"Bond without sureties filed","Bond without sureties"
,Capias,"Capias issued"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Certificate of Death filed","Certificate of Death"
,"Change of address","Change of address"
,"Complaint filed","Complaint filed"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Capias expired","Capias returned expired"
,"Capias returned","Capias returned"
,"Capias returned unserved","Capias return unserved"
,"Case inactivated","Case Inactivated"
,"Case management conference","Case management conference"
,"Answer filed","Answer filed"
,"Bond with sureties filed","Bond with sureties"
,"Bond without sureties filed","Bond without sureties"
,"Bond with sureties filed","Bond with sureties"
,"Bond without sureties filed","Bond without sureties"
,"Bond with sureties filed","Bond with sureties"
,"Bond without sureties filed","Bond without sureties"
,"Bond with sureties filed","Bond with sureties"
